Country;ISO Code;Region;ADM1;Affected Pop Share;Type;Meta (e.g. group size thresholds;Start;End;Source;Comment
US;US;Vermont;VT;1,00;Restaurant/Bar Closure;;2020-03-17;;https://governor.vermont.gov/press-release/governor-phil-scott-announces-new-guidance-covid-19-community-mitigation-measures;
US;US;Wisconsin;WI;1,00;Restaurant/Bar Closure;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Maine;ME;1,00;Restaurant/Bar Closure;;2020-03-18;;https://www.maine.gov/governor/mills/news/governor-mills-takes-further-steps-respond-covid-19-protect-health-and-safety-maine-people;
US;US;Nevada;NV;1,00;Restaurant/Bar Closure;;2020-03-18;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Ohio;OH;1,00;Restaurant/Bar Closure;;2020-03-18;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;South Carolina;SC;1,00;Restaurant/Bar Closure;;2020-03-18;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;West Virginia;WV;1,00;Restaurant/Bar Closure;;2020-03-18;;https://governor.wv.gov/News/press-releases/2020/Pages/COVID-19-UPDATE-Gov.-Justice-holds-statewide-address-to-discuss-coronavirus-precautions.aspx, https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;It's unclear when exactly the school closure was put into place
US;US;Washington;WA;1,00;School Closings;;2020-03-13;;https://www.seattletimes.com/education-lab/inslee-announces-all-washington-k-12-schools-to-close-in-an-effort-to-slow-the-spread-of-coronavirus/;
US;US;Alabama;AL;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;date of announcement was 2020-03-13, so relevant only from 2020-03-16
US;US;Alaska;AK;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;date of announcement was 2020-03-13, so relevant only from 2020-03-16
US;US;Arizona;AZ;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;date of announcement was 2020-03-13, so relevant only from 2020-03-16
US;US;Delaware;DE;1,00;School Closings;;2020-03-16;;https://news.delaware.gov/2020/03/13/governor-carney-directs-two-week-closure-of-delaware-public-schools/;
US;US;Indiana;IN;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Louisiana;LA;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Maryland;MD;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Michigan;MI;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Montana;MT;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Nevada;NV;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;New Hampshire;NH;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;New Mexico;NM;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;North Carolina;NC;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;North Dakota;ND;1,00;School Closings;;2020-03-16;;https://www.governor.nd.gov/news/burgum-orders-k-12-schools-close-one-week-effort-slow-spread-covid-19;
US;US;Oregon;OR;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Pennsylvania;PA;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;not clear about the date for bar closures
US;US;South Carolina;SC;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;South Dakota;SD;1,00;School Closings;;2020-03-16;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
